,index,state,date,total_patients_hospitalized_confirmed_influenza
74125,74125,AZ,2023-10-01,14.0
68256,68256,AZ,2023-10-02,9.0
67086,67086,AZ,2023-10-03,6.0
73211,73211,AZ,2023-10-04,6.0
66726,66726,AZ,2023-10-05,6.0
62124,62124,AZ,2023-10-06,7.0
65846,65846,AZ,2023-10-07,5.0
61567,61567,AZ,2023-10-08,7.0
73003,73003,AZ,2023-10-09,7.0
69023,69023,AZ,2023-10-10,8.0
71581,71581,AZ,2023-10-11,7.0
67835,67835,AZ,2023-10-12,9.0
63512,63512,AZ,2023-10-13,10.0
68960,68960,AZ,2023-10-14,14.0
64287,64287,AZ,2023-10-15,15.0
73524,73524,AZ,2023-10-16,21.0
60802,60802,AZ,2023-10-17,22.0
73135,73135,AZ,2023-10-18,18.0
71848,71848,AZ,2023-10-19,22.0
693,693,AZ,2023-10-20,24.0
70879,70879,AZ,2023-10-21,27.0
68347,68347,AZ,2023-10-22,32.0
73659,73659,AZ,2023-10-23,37.0
70493,70493,AZ,2023-10-24,26.0
62813,62813,AZ,2023-10-25,24.0
61179,61179,AZ,2023-10-26,23.0
73535,73535,AZ,2023-10-27,22.0
72542,72542,AZ,2023-10-28,21.0
68719,68719,AZ,2023-10-29,22.0
61619,61619,AZ,2023-10-30,24.0
66544,66544,AZ,2023-10-31,28.0
61406,61406,AZ,2023-11-01,23.0
68031,68031,AZ,2023-11-02,24.0
62567,62567,AZ,2023-11-03,26.0
60978,60978,AZ,2023-11-04,33.0
62188,62188,AZ,2023-11-05,38.0
74038,74038,AZ,2023-11-06,42.0
62756,62756,AZ,2023-11-07,50.0
62582,62582,AZ,2023-11-08,55.0
67715,67715,AZ,2023-11-09,63.0
67924,67924,AZ,2023-11-10,57.0
67313,67313,AZ,2023-11-11,73.0
65353,65353,AZ,2023-11-12,75.0
62025,62025,AZ,2023-11-13,71.0
62086,62086,AZ,2023-11-14,73.0
74197,74197,AZ,2023-11-15,95.0
63209,63209,AZ,2023-11-16,94.0
69654,69654,AZ,2023-11-17,101.0
60750,60750,AZ,2023-11-18,101.0
62271,62271,AZ,2023-11-19,97.0
62201,62201,AZ,2023-11-20,108.0
70252,70252,AZ,2023-11-21,108.0
63864,63864,AZ,2023-11-22,116.0
61934,61934,AZ,2023-11-23,95.0
61355,61355,AZ,2023-11-24,112.0
71057,71057,AZ,2023-11-25,113.0
62923,62923,AZ,2023-11-26,123.0
65608,65608,AZ,2023-11-27,135.0
68687,68687,AZ,2023-11-28,139.0
67871,67871,AZ,2023-11-29,133.0
66465,66465,AZ,2023-11-30,110.0
65581,65581,AZ,2023-12-01,114.0
63240,63240,AZ,2023-12-02,132.0
62414,62414,AZ,2023-12-03,151.0
61891,61891,AZ,2023-12-04,171.0
64061,64061,AZ,2023-12-05,176.0
70835,70835,AZ,2023-12-06,176.0
62794,62794,AZ,2023-12-07,178.0
73955,73955,AZ,2023-12-08,171.0
73667,73667,AZ,2023-12-09,193.0
69342,69342,AZ,2023-12-10,198.0
62157,62157,AZ,2023-12-11,231.0
61057,61057,AZ,2023-12-12,232.0
66051,66051,AZ,2023-12-13,243.0
71915,71915,AZ,2023-12-14,247.0
60824,60824,AZ,2023-12-15,263.0
64718,64718,AZ,2023-12-16,297.0
67424,67424,AZ,2023-12-17,314.0
69223,69223,AZ,2023-12-18,352.0
65136,65136,AZ,2023-12-19,397.0
64694,64694,AZ,2023-12-20,371.0
64668,64668,AZ,2023-12-21,400.0
63338,63338,AZ,2023-12-22,452.0
62709,62709,AZ,2023-12-23,473.0
65334,65334,AZ,2023-12-24,527.0
64140,64140,AZ,2023-12-25,549.0
63644,63644,AZ,2023-12-26,623.0
63544,63544,AZ,2023-12-27,587.0
72779,72779,AZ,2023-12-28,590.0
73241,73241,AZ,2023-12-29,583.0
61756,61756,AZ,2023-12-30,576.0
70998,70998,AZ,2023-12-31,599.0
66917,66917,AZ,2024-01-01,551.0
62619,62619,AZ,2024-01-02,577.0
60765,60765,AZ,2024-01-03,557.0
66157,66157,AZ,2024-01-04,573.0
64149,64149,AZ,2024-01-05,548.0
69945,69945,AZ,2024-01-06,490.0
67522,67522,AZ,2024-01-07,491.0
69619,69619,AZ,2024-01-08,526.0
63890,63890,AZ,2024-01-09,519.0
74017,74017,AZ,2024-01-10,467.0
63948,63948,AZ,2024-01-11,470.0
66184,66184,AZ,2024-01-12,451.0
66486,66486,AZ,2024-01-13,429.0
62964,62964,AZ,2024-01-14,430.0
73623,73623,AZ,2024-01-15,444.0
61818,61818,AZ,2024-01-16,444.0
70901,70901,AZ,2024-01-17,423.0
71962,71962,AZ,2024-01-18,393.0
63256,63256,AZ,2024-01-19,385.0
63108,63108,AZ,2024-01-20,350.0
61405,61405,AZ,2024-01-21,369.0
67205,67205,AZ,2024-01-22,401.0
67029,67029,AZ,2024-01-23,391.0
66682,66682,AZ,2024-01-24,384.0
70785,70785,AZ,2024-01-25,379.0
70653,70653,AZ,2024-01-26,345.0
69700,69700,AZ,2024-01-27,327.0
61841,61841,AZ,2024-01-28,297.0
73566,73566,AZ,2024-01-29,277.0
64781,64781,AZ,2024-01-30,276.0
65931,65931,AZ,2024-01-31,262.0
64261,64261,AZ,2024-02-01,241.0
63369,63369,AZ,2024-02-02,210.0
61467,61467,AZ,2024-02-03,191.0
61382,61382,AZ,2024-02-04,187.0
68209,68209,AZ,2024-02-05,177.0
71092,71092,AZ,2024-02-06,177.0
64585,64585,AZ,2024-02-07,154.0
63962,63962,AZ,2024-02-08,152.0
63895,63895,AZ,2024-02-09,141.0
62182,62182,AZ,2024-02-10,133.0
68299,68299,AZ,2024-02-11,132.0
68913,68913,AZ,2024-02-12,124.0
67677,67677,AZ,2024-02-13,119.0
69782,69782,AZ,2024-02-14,122.0
71397,71397,AZ,2024-02-15,113.0
60943,60943,AZ,2024-02-16,116.0
71898,71898,AZ,2024-02-17,104.0
64532,64532,AZ,2024-02-18,103.0
68730,68730,AZ,2024-02-19,114.0
64295,64295,AZ,2024-02-20,118.0
67242,67242,AZ,2024-02-21,120.0
61060,61060,AZ,2024-02-22,119.0
67440,67440,AZ,2024-02-23,111.0
68658,68658,AZ,2024-02-24,108.0
61209,61209,AZ,2024-02-25,110.0
